id,lon,lat
89a901291abffff,-51.15824594660333,-30.05384602808788
89a9012a3cfffff,-51.21186667853149,-30.100576010026746
89a901295b7ffff,-51.16520638502679,-30.075442129471778
89a901284a3ffff,-51.20535429473797,-30.090045791232374
89a9012809bffff,-51.195753722189124,-30.07838729217851
89a901285cfffff,-51.21108189535614,-30.081237865277483
89a90e934d7ffff,-51.14707890526145,-30.003447817815264
89a90129b47ffff,-51.16527300598623,-30.001901077812914
89a90128a1bffff,-51.21170299010691,-30.021544248825958
89a90129977ffff,-51.19284068550209,-30.006497704065282
89a90128e27ffff,-51.22427745410829,-30.031572244049148
89a9012a2a3ffff,-51.2061390072645,-30.109379435479
89a9012b3b7ffff,-51.16598965746631,-30.094785105022627
89a901281dbffff,-51.20743346411892,-30.06629913495399
89a90e9341bffff,-51.14685527961858,-29.99791147841228
89a901290b7ffff,-51.14358538397091,-30.067571087535317
89a90128363ffff,-51.191321231158256,-30.04409620019262
89a9012a39bffff,-51.21815455559188,-30.1055833069944
89a901280cfffff,-51.189465453581846,-30.073378894431425
89a9012a237ffff,-51.20591477281148,-30.10385683275538
89a90129a03ffff,-51.15061488959061,-30.015640542488168
89a90129907ffff,-51.19604068519098,-30.01039159272838
89a90e9244bffff,-51.201655603707415,-29.998809090912044
89a90129a73ffff,-51.147414551532734,-30.011750060992558
89a90128ad7ffff,-51.2119273506676,-30.027075934696896
89a9012b133ffff,-51.18132050123578,-30.097639134060405
89a90129157ffff,-51.14611517963554,-30.05487532407773
89a9012852bffff,-51.2197846696673,-30.070791310072597
89a901286dbffff,-51.16576606288333,-30.08925790208963
89a9012a32bffff,-51.22056976288314,-30.090133940008823
89a90128c6bffff,-51.230676567322526,-30.039349345798406
89a9012834bffff,-51.18239304316509,-30.049018224365206
89a9012b383ffff,-51.157059235654295,-30.099705388908973
89a90128187ffff,-51.22253568385537,-30.063621241486945
89a9012a163ffff,-51.23612047690943,-30.098504163688467
89a90129833ffff,-51.17818506404551,-30.02024021763199
89a9012859bffff,-51.217369800321556,-30.086245218591397
89a90e9348bffff,-51.150055480160724,-30.001806495199254
89a9012848fffff,-51.199402152208634,-30.093326323286103
89a9012956bffff,-51.14656263880974,-30.065934367036167
89a9012aa83ffff,-51.24117323098862,-30.073122736902306
89a90129bb3ffff,-51.18071346229047,-30.007530176389288
89a9012aecbffff,-51.22972068967634,-30.09073643725393
