"","id","lon","lat","population","schools","jobs","healthcare"
"82","89a90128437ffff",-51.2051301448641,-30.084518658289,670,0,17,0
"83","89a9012a167ffff",-51.239095810376,-30.0968608478133,756,0,55,0
"84","89a90129bb7ffff",-51.1836892771408,-30.0058880964147,232,0,114,0
"85","89a9012992bffff",-51.1958166012359,-30.004859862481,446,0,699,0
"86","89a9012b347ffff",-51.1475689765401,-30.0908047311288,60,0,89,0
"87","89a9012845bffff",-51.1840730883308,-30.0904743990512,126,0,0,0
"88","89a9012913bffff",-51.1550453733762,-30.0499557586483,1206,0,19,0
"89","89a9012b32fffff",-51.159476661414,-30.0842480771056,0,0,0,0
"90","89a90128077ffff",-51.1951935146145,-30.0645716364353,1919,0,205,1
"91","89a90129903ffff",-51.1930649413764,-30.0120339505149,372,0,513,0
"92","89a90128433ffff",-51.2021539643587,-30.0861612101566,117,0,2,0
"93","89a90128e63ffff",-51.212151413993,-30.0326076159357,3036,1,509,0
"94","89a9012999bffff",-51.1934008760081,-30.0203315428478,973,0,212,0
"95","89a9012ac4bffff",-51.2480215653097,-30.091939520554,0,0,0,0
"96","89a90128577ffff",-51.2168088087472,-30.0724296823201,735,0,9,0
"97","89a90129973ffff",-51.1898650043988,-30.0081399902015,1526,0,597,0
"98","89a901291afffff",-51.1612225418203,-30.0522044622911,833,0,2015,0
"99","89a9012841bffff",-51.1932257865287,-30.0910794357027,303,0,0,0
"100","89a90129587ffff",-51.159252806982,-30.0787208535917,1471,0,0,0
"101","89a9012816bffff",-51.209848422413,-30.0508363339917,1852,0,214,0
"102","89a90129d7bffff",-51.1875610809883,-30.0263774225251,1970,1,637,0
"103","89a90129dafffff",-51.2028884807597,-30.0292380238171,317,0,2257,0
"104","89a901299cfffff",-51.1871131504304,-30.0153139520357,572,0,1159,0
"105","89a90129cdbffff",-51.1641990386541,-30.0505628290785,1266,0,35,1
"106","89a901290b3ffff",-51.1406083615908,-30.069212252423,91,0,0,0
"107","89a901299a7ffff",-51.2051916053232,-30.0110003405468,369,1,1933,0
