route_id,route_short_name,route_long_name,fare_id,price,type,price_bu
37262221,100,Troncal 01 - General Osório - Central (via Av. Nossa Senhora de Copacabana/Aterro do Flamengo),32069624,4.05,onibus_municipal,4.05
12860308,433,Vila Isabel - Prado Júnior (via Lapa) (Circular),32069624,4.05,onibus_municipal,4.05
12863080,007,Silvestre - Central (Circular),32069624,4.05,onibus_municipal,4.05
12862144,795,Pavuna - Sulacap (via Mariópolis),32069624,4.05,onibus_municipal,4.05
12860115,484,Olaria - Gal. Osório (via Aterro do Flamengo) (Circular),32069624,4.05,onibus_municipal,4.05
12860255,385,Village Pavuna - Passeio (via Estrada do Camboatá),32069624,4.05,onibus_municipal,4.05
12867928,914,Jardim América - Fundão (Circular),32069624,4.05,onibus_municipal,4.05
31116320,816A,Taquara - Estação Outeiro Santo (via Guerenguê e Mapuá) (Circular),34127545,4.05,onibus_municipal,4.05
13419130,343,Jardim Oceânico - Candelária (via Linha Amarela),32069624,4.05,onibus_municipal,4.05
12861248,222,Vila Isabel - Praça Mauá (via Hosp. dos Servidores) (Circular),32069624,4.05,onibus_municipal,4.05
31694628,858A,São Fernando - Paciência,34127545,4.05,onibus_municipal,4.05
41177762,474,Jacaré - Jardim de Alah (via Túnel Santa Bárbara),32069624,4.05,onibus_municipal,4.05
43425849,900,Merck - Downtown (Circular),32069624,4.05,onibus_municipal,4.05
12862233,312,Olaria - Candelária (via São Cristóvão) (Circular),32069624,4.05,onibus_municipal,4.05
12861212,014,Paula Matos - Castelo (Circular),32069624,4.05,onibus_municipal,4.05
39712041,BRT 41,Madureira - Terminal Recreio (via Curicica),34127393,4.05,brt,4.05
12863993,813,Manguariba - Santa Cruz (Circular),32069624,4.05,onibus_municipal,4.05
12866497,229,Usina - Castelo (Circular),32069624,4.05,onibus_municipal,4.05
12862411,945,Pavuna - Cidade Universitária,32069624,4.05,onibus_municipal,4.05
12861232,630,Penha (Iapi) - Saens Peña,32069624,4.05,onibus_municipal,4.05
42630377,826,Carobinha - Campo Grande (via Estr. do Lameirão) (Circular),32069624,4.05,onibus_municipal,4.05
21006459,855A,Bangu - Magarça (via Av. Santa Cruz) (Circular),34127545,4.05,onibus_municipal,4.05
12863168,812,Carobinha - Bangu,32069624,4.05,onibus_municipal,4.05
12349195,10L2,Ceasa - Ceasa (via Amaral Peixoto),30175983,5,metro,5
12860067,844,Barra Shopping - Barrinha (Circular),32069624,4.05,onibus_municipal,4.05
12860083,386,Anchieta - Passeio (via Mariópolis),32069624,4.05,onibus_municipal,4.05
12867245,364,Jardim Bangu - Tiradentes,32069624,4.05,onibus_municipal,4.05
12869272,367,Realengo - Praça XV (via Av. Brasil),32069624,4.05,onibus_municipal,4.05
12865806,922,Tubiacanga - Aeroporto Internacional do RJ (AIRJ) (via Via Ligth) (Circular),32069624,4.05,onibus_municipal,4.05
48814640,916A,Bonsucesso - Vaz Lobo (Circular),34127545,4.05,onibus_municipal,4.05
12862098,342,Jardim América - Castelo,32069624,4.05,onibus_municipal,4.05
240,"",Ramal Deodoro,125,4.7,trem,4.7
241,"",Ramal Santa Cruz,125,4.7,trem,4.7
242,"",Ramal Japeri,125,4.7,trem,4.7
243,"",Ramal Belford Roxo,125,4.7,trem,4.7
244,"",Ramal Saracuruna,125,4.7,trem,4.7
245,"",Ramal Vila Inhomirim,125,4.7,trem,4.7
246,"",Ramal Guapimirim,125,4.7,trem,4.7
248,"",Ramal Paracambi,125,4.7,trem,4.7
0,caminhada,caminhada,0,0,caminhada,0
